Round,Abe,Gins,Jo,Ethan,Crum,Scott,Blake,Dave
1,"N.Landman, LA","K.Curl, LA","E.Jones, SEA","B.Young, LA","F.Oluokun, JAX","Q.Lake, LA","K.Kinchens, LA","Z.Baun, PHI"
2,"N.Emmanwori, SEA","H.To'oTo'o, HOU","J.Verse, LA","D.Hunter, HOU","T.Edmunds, CHI","T.Stevenson, CHI","R.Spillane, NE","W.Anderson, HOU"
3,"J.Love, SEA","A.Singleton, DEN","D.Thomas, SEA","K.Lassiter, HOU","N.Bonitto, DEN","J.McMillian, DEN","K.Byard, CHI","N.Dean, PHI"
4,"J.Hines-Allen, JAX","E.Forbes, LA","C.DeJean, PHI","O.Speights, LA","T.Hufanga, DEN","A.Al-Shaair, HOU","J.Hawkins, NE","T.Bernard, BUF"
5,"D.Lloyd, JAX","R.Blankenship, PHI","M.Sweat, CHI","K.Turner, LA","N.Wright, CHI","T.Watt, PIT","J.Brown, SF","M.Milano, BUF"
6,"J.Phillips, PHI","Q.Walker, GB","J.Hunt, PHI","D.Witherspoon, SEA","J.Pitre, HOU","T.Edwards, CHI","A.Wingard, JAX","G.Rousseau, BUF"
7,"J.Carter, PHI","C.Bishop, BUF","J.Cooper, DEN","J.Brisker, CHI","X.McKinney, GB","E.Cooper, GB","R.Moss, DEN","K.Mack, LAC"
8,"C.Woodson, NE","T.Tuipulotu, LAC","M.Jones, NE","C.Bullock, HOU","C.Rozeboom, CAR","C.Bryant, SEA","K.Chaisson, NE","C.Benford, BUF"
9,"P.Queen, PIT","C.Gonzalez, NE","L.Williams, SEA","J.Jobe, SEA","H.Landry, NE","D.James, LAC","D.Henley, LAC","D.Perryman, LAC"
10,"U.Nwosu, SEA","D.Stingley, HOU","J.Gibbens, NE","Z.Allen, DEN","An.Johnson, JAX","M.Jackson, CAR","D.Lawrence, SEA","J.Bosa, BUF"
11,"T.Walker, JAX","E.Murray, JAX","J.Poyer, BUF","P.Surtain, DEN","B.Murphy, SEA","N.Herbig, PIT","U.Stout, SF","J.Davis, PHI"
12,"C.Johnson, CHI","C.Elliss, NE","T.Togiai, HOU","T.Woolen, SEA","A.Highsmith, PIT","C.Lewis, BUF","G.Dexter, CHI","Q.Mitchell, PHI"
13,"P.Wilson, PIT","J.Campbell, PHI","Ca.Heyward, PIT","J.Johnson, CHI","R.Gary, GB","V.Miller, JAX","C.Durant, LA","E.Speed, HOU"
14,"M.Williams, NE","M.Brown, JAX","J.McCollough, LA","S.Thompson, BUF","D.Greenlaw, DEN","B.Echols, PIT","E.Williams, GB","I.McDuffie, GB"
15,"J.Ramsey, PIT","M.Mustapha, SF","K.Benton, PIT","T.White, BUF","J.Strnad, DEN","T.Dye, LAC","D.Lenoir, SF","S.Rankins, HOU"
16,"S.Barkley, PHI","S.Darnold, SEA","J.Smith-Njigba, SEA","D.Maye, NE","T.Lawrence, JAX","M.Stafford, LA","P.Nacua, LA","J.Allen, BUF"
17,"K.Williams, LAR","C.Williams, CHI","J.Hurts, PHI","C.McCaffrey, SF","D.Adams, LA","J.Herbert, LAC","B.Purdy, SF","J.Cook, BUF"
18,"D.Smith, PHI","A.Brown, PHI","J.Love, GB","N.Collins, HOU","S.Diggs, NE","B.Nix, DEN","T.Henderson, NE","C.Stroud, HOU"
19,"R.Stevenson, NE","C.Sutton, DEN","R.Harvey, DEN","T.Etienne, JAX","J.Jacobs, GB","D.Swift, CHI","P.Washington, JAX","O.Hampton, LAC"
20,"J.Meyers, JAX","B.Young, CAR","B.Corum, LA","J.Jennings, SF","K.Walker, SEA","A.Rodgers, PIT","Z.Charbonnet, SEA","D.Goedert, PHI"
21,"K.Monangai, CHI","C.Parkinson, LA","K.Shakir, BUF","C.Watson, GB","D.Metcalf, PIT","J.Warren, PIT","K.Gainwell, PIT","R.Doubs, GB"
22,"B.Thomas, JAX","D.Schultz, HOU","W.Marks, HOU","L.Burden, CHI","H.Henry, NE","R.Dowdle, CAR","C.Loveland, CHI","J.Higgins, HOU"
23,"K.Boutte, NE","D.Knox, BUF","L.McConkey, LAC","G.Kittle, SF","T.Franklin, DEN","T.McMillan, CAR","D.Moore, CHI","Q.Johnston, LAC"
24,"C.Kupp, SEA","K.Vidal, LAC","J.Reed, GB","A.Barner, SEA","B.Strange, JAX","R.Shaheed, SEA","D.Douglas, NE","J.Dotson, PHI"
25,"R.Odunze, CHI","P.Freiermuth, PIT","D.Kincaid, BUF","K.Allen, LAC","K.Bourne, SF","O.Gadsden, LAC","P.Bryant, DEN","K.Coleman, BUF"
26,"T.Ferguson, LAR","L.Musgrave, GB","T.Higbee, LA","J.Coker, CAR","E.Engram, DEN","B.Tuten, JAC","C.Hubbard, CAR","E.Wilson, GB"
27,"E.Chism, NE","K.Williams, NE","C.Austin, PIT","M.Mims, DEN","X.Hutchinson, HOU","N.Chubb, HOU","C.Kirk, HOU","B.Cooks, BUF"
